size,time,local,filesystem,branches,process
3068425982,387.865,true,hdfs,-1,false
2537734261,324.122,true,zfs,-1,false
2146317429,126.19,true,hdfs,-1,true
2488341627,552.429,false,zfs,-1,true
2956848231,120.656,true,hdfs,-1,false
3166811432,204.707,true,hdfs,-1,true
2292218233,107.934,false,hdfs,-1,true
2688109425,1167.11,false,zfs,-1,true
2488926623,144.609,false,hdfs,-1,true
2642483206,121.425,true,hdfs,-1,false
2899750614,98.2255,true,zfs,-1,false
2504932171,185.836,true,hdfs,-1,false
2016224435,1424.27,true,zfs,-1,false
1030324936,39.3253,true,zfs,-1,true
3186055324,218.207,true,hdfs,-1,true
2622652363,1888.46,true,zfs,-1,false
2248450801,1446.42,false,zfs,-1,true
2364855239,217.607,true,hdfs,-1,true
2498578591,262.875,true,hdfs,-1,true
2914889697,125.35,false,hdfs,-1,true
2322408453,1386.15,false,zfs,-1,true
2925544393,209.26,true,hdfs,-1,true
2627059208,1634.81,false,zfs,-1,true
1905685924,218.583,true,hdfs,-1,true
2747625125,1969.2,false,zfs,-1,true
2799762677,270.987,true,hdfs,-1,true
2133146599,269.518,false,zfs,-1,true
2741409275,2024.94,false,zfs,-1,true
2770476308,1593.77,true,zfs,-1,false
2419398422,233.523,true,hdfs,-1,true
1999618732,146.962,true,hdfs,-1,true
2784891580,160.121,false,hdfs,-1,true
2494021169,410.519,true,zfs,-1,true
2261329384,1368.42,false,zfs,-1,true
2454328198,457.629,true,hdfs,-1,true
2661957521,394.272,true,hdfs,-1,true
2735188127,109.342,false,hdfs,-1,true
2273095683,279.675,true,zfs,-1,true
2598965730,107.591,false,hdfs,-1,true
2596182512,2312.62,false,zfs,-1,true
3332070147,1350.42,false,zfs,-1,true
3017763578,433.673,true,hdfs,-1,true
2907172457,237.189,true,zfs,-1,true
2530958051,105.225,false,hdfs,-1,true
2840812129,267.882,true,hdfs,-1,true
2963720143,339.632,true,zfs,-1,true
2488964446,120.443,false,hdfs,-1,true
2410943486,101.897,false,hdfs,-1,true
2669927779,173.883,true,hdfs,-1,true
2781102085,580.531,true,zfs,-1,true
2408171197,470.768,false,zfs,-1,true
2810697703,133.476,true,hdfs,-1,true
2723193366,117.241,false,hdfs,-1,true
1755463898,63.8862,true,zfs,-1,true
2501350829,820.968,true,hdfs,-1,true
2389078070,106.041,false,hdfs,-1,true
2516212399,77.4295,true,hdfs,-1,false
2732888694,155.545,true,hdfs,-1,true
2747713802,1635.27,false,zfs,-1,true
2374340479,42.1608,true,hdfs,-1,false
2195824852,1417.78,true,zfs,-1,false
2175779242,309.816,true,zfs,-1,false
2649745960,106.555,false,hdfs,-1,true
2961078914,2174.43,true,zfs,-1,false
2086217809,532.37,true,zfs,-1,true
2297262398,188.16,true,hdfs,-1,true
2720606810,190.489,true,hdfs,-1,false
2794253209,111.009,true,hdfs,-1,false
2679820179,318.858,true,hdfs,-1,true
2387022294,598.864,false,zfs,-1,true
2227517607,196.712,true,zfs,-1,true
2627352548,747.092,true,hdfs,-1,true
2747625125,111.37,false,hdfs,-1,true
2784891580,2377.18,false,zfs,-1,true
2497080381,97.8989,false,hdfs,-1,true
3295505663,557.159,false,zfs,-1,true
2562612132,36.3926,true,hdfs,-1,false
2900924807,153.7,true,zfs,-1,true
2824173540,377.359,true,hdfs,-1,true
2741409275,159.685,false,hdfs,-1,true
2296684639,118.044,true,zfs,-1,true
2133146599,86.282,false,hdfs,-1,true
2545952291,172.802,true,hdfs,-1,true
2248450801,94.3725,false,hdfs,-1,true
3010853191,156.628,true,hdfs,-1,true
1923231529,352.142,false,zfs,-1,true
2651864330,394.012,true,hdfs,-1,true
2627059208,117.422,false,hdfs,-1,true
2322408453,86.7151,false,hdfs,-1,true
2914889697,1729.43,false,zfs,-1,true
2980167805,179.368,true,hdfs,-1,true
2156640709,95.8148,true,hdfs,-1,false
2134342121,72.6117,true,hdfs,-1,false
