size,time,cp_to_scratch,filesystem,branches,process,hostname,filename
2056620044,90.9239,false,hdfs,-1,true,scorpion40.spa.umn.edu,anTGCtree_data_75.root
2749762684,1438.91,true,hdfs,-1,true,scorpion40.spa.umn.edu,anTGCtree_data_679.root
3046512446,233.249,true,hdfs,-1,true,scorpion40.spa.umn.edu,anTGCtree_data_176.root
2697213276,2319,true,zfs,-1,true,scorpion26.spa.umn.edu,anTGCtree_data_38.root
2910043935,1589.09,true,hdfs,-1,true,scorpion8.spa.umn.edu,anTGCtree_data_626.root
2067390317,155.752,false,hdfs,-1,true,scorpion31.spa.umn.edu,anTGCtree_data_408.root
3153591106,265.744,true,hdfs,-1,true,scorpion19.spa.umn.edu,anTGCtree_data_3.root
2339982738,1260.55,true,zfs,-1,true,scorpion41.spa.umn.edu,anTGCtree_data_793.root
2556963426,363.518,true,hdfs,-1,true,scorpion26.spa.umn.edu,anTGCtree_data_599.root
2594766337,102.393,false,hdfs,-1,true,scorpion40.spa.umn.edu,anTGCtree_data_452.root
3049219889,127.109,false,hdfs,-1,true,scorpion42.spa.umn.edu,anTGCtree_data_491.root
2670919200,1931.7,true,zfs,-1,true,scorpion2.spa.umn.edu,anTGCtree_data_52.root
2586279535,1223.72,true,zfs,-1,true,scorpion28.spa.umn.edu,anTGCtree_data_97.root
2433292719,148.228,true,hdfs,-1,true,scorpion26.spa.umn.edu,anTGCtree_data_148.root
3032286989,1247.14,true,hdfs,-1,true,scorpion33.spa.umn.edu,anTGCtree_data_220.root
3184035849,1300.05,true,hdfs,-1,true,scorpion39.spa.umn.edu,anTGCtree_data_722.root
2622177016,2337.57,true,zfs,-1,true,scorpion36.spa.umn.edu,anTGCtree_data_368.root
2930616096,1463.84,true,zfs,-1,true,scorpion27.spa.umn.edu,anTGCtree_data_323.root
2636486642,2871.67,true,zfs,-1,true,scorpion39.spa.umn.edu,anTGCtree_data_665.root
2156640709,882.348,true,hdfs,-1,true,scorpion41.spa.umn.edu,anTGCtree_data_278.root
3062984079,152.29,false,hdfs,-1,true,scorpion38.spa.umn.edu,anTGCtree_data_548.root
2770853250,126.161,false,hdfs,-1,true,scorpion25.spa.umn.edu,anTGCtree_data_503.root
2562612132,1940.29,true,hdfs,-1,true,scorpion33.spa.umn.edu,anTGCtree_data_575.root
3242141112,997.26,true,hdfs,-1,true,scorpion33.spa.umn.edu,anTGCtree_data_124.root
1751293168,442.493,true,hdfs,-1,true,scorpion8.spa.umn.edu,anTGCtree_data_233.root
2467101135,1031.86,true,zfs,-1,true,scorpion25.spa.umn.edu,anTGCtree_data_209.root
3180500134,1476.06,true,zfs,-1,true,scorpion38.spa.umn.edu,anTGCtree_data_716.root
2277489921,117.76,false,hdfs,-1,true,scorpion32.spa.umn.edu,anTGCtree_data_56.root
3002783996,1806.26,true,hdfs,-1,true,scorpion37.spa.umn.edu,anTGCtree_data_85.root
3696566217,556.137,true,hdfs,-1,true,scorpion19.spa.umn.edu,anTGCtree_data_522.root
2842494758,1897.08,true,zfs,-1,true,scorpion33.spa.umn.edu,anTGCtree_data_589.root
2566504884,113.741,false,hdfs,-1,true,scorpion19.spa.umn.edu,anTGCtree_data_252.root
2746915345,2252.92,true,zfs,-1,true,scorpion28.spa.umn.edu,anTGCtree_data_187.root
2837225753,848.256,true,hdfs,-1,true,scorpion41.spa.umn.edu,anTGCtree_data_790.root
2493315498,2723.1,true,zfs,-1,true,scorpion31.spa.umn.edu,anTGCtree_data_140.root
3092582754,133.878,false,hdfs,-1,true,scorpion34.spa.umn.edu,anTGCtree_data_645.root
3084103168,2609.04,true,zfs,-1,true,scorpion31.spa.umn.edu,anTGCtree_data_632.root
2685254823,2754.97,true,zfs,-1,true,scorpion39.spa.umn.edu,anTGCtree_data_310.root
2134342121,115.941,true,hdfs,-1,true,scorpion2.spa.umn.edu,anTGCtree_data_375.root
2914056330,114.009,false,hdfs,-1,true,scorpion41.spa.umn.edu,anTGCtree_data_34.root
3047632917,2699.97,true,zfs,-1,true,scorpion25.spa.umn.edu,anTGCtree_data_689.root
2294293868,91.8653,false,hdfs,-1,true,scorpion28.spa.umn.edu,anTGCtree_data_783.root
2516212399,571.511,true,hdfs,-1,true,scorpion28.spa.umn.edu,anTGCtree_data_674.root
2836013269,108.471,false,hdfs,-1,true,scorpion36.spa.umn.edu,anTGCtree_data_403.root
2941051743,2016.12,true,hdfs,-1,true,scorpion37.spa.umn.edu,anTGCtree_data_332.root
2335697475,352.6,true,hdfs,-1,true,scorpion39.spa.umn.edu,anTGCtree_data_359.root
1767084720,102.634,false,hdfs,-1,true,scorpion37.spa.umn.edu,anTGCtree_data_809.root
2473689089,1425.53,true,zfs,-1,true,scorpion38.spa.umn.edu,anTGCtree_data_713.root
2132634831,1121.27,true,zfs,-1,true,scorpion4.spa.umn.edu,anTGCtree_data_211.root
2794253209,470.563,true,hdfs,-1,true,scorpion19.spa.umn.edu,anTGCtree_data_529.root
2720606810,1699.96,true,hdfs,-1,true,scorpion4.spa.umn.edu,anTGCtree_data_88.root
2799943546,150.865,false,hdfs,-1,true,scorpion32.spa.umn.edu,anTGCtree_data_564.root
2595536131,1833.08,true,zfs,-1,true,scorpion33.spa.umn.edu,anTGCtree_data_59.root
2691850487,107.275,false,hdfs,-1,true,scorpion33.spa.umn.edu,anTGCtree_data_259.root
2295355525,1110.49,true,zfs,-1,true,scorpion28.spa.umn.edu,anTGCtree_data_180.root
3458728473,139.559,false,hdfs,-1,true,scorpion30.spa.umn.edu,anTGCtree_data_640.root
2994262414,544.07,true,zfs,-1,true,scorpion31.spa.umn.edu,anTGCtree_data_136.root
2374340479,1577.02,true,hdfs,-1,true,scorpion37.spa.umn.edu,anTGCtree_data_784.root
2195824852,1720.27,true,zfs,-1,true,scorpion29.spa.umn.edu,anTGCtree_data_308.root
2175779242,2240.14,true,zfs,-1,true,scorpion31.spa.umn.edu,anTGCtree_data_635.root
1861969837,71.1815,false,hdfs,-1,true,scorpion33.spa.umn.edu,anTGCtree_data_333.root
2833898428,677.824,true,hdfs,-1,true,scorpion41.spa.umn.edu,anTGCtree_data_370.root
2966125962,2590.28,true,zfs,-1,true,scorpion25.spa.umn.edu,anTGCtree_data_688.root
2508466546,114.668,true,hdfs,-1,true,scorpion2.spa.umn.edu,anTGCtree_data_173.root
2504932171,1348.7,true,hdfs,-1,true,scorpion40.spa.umn.edu,anTGCtree_data_68.root
2553715152,104.185,false,hdfs,-1,true,scorpion26.spa.umn.edu,anTGCtree_data_752.root
2016224435,2290.16,true,zfs,-1,true,scorpion35.spa.umn.edu,anTGCtree_data_384.root
2672763758,1094.25,true,hdfs,-1,true,scorpion29.spa.umn.edu,anTGCtree_data_301.root
2493987336,93.9113,false,hdfs,-1,true,scorpion33.spa.umn.edu,anTGCtree_data_409.root
2642483206,710.061,true,hdfs,-1,true,scorpion34.spa.umn.edu,anTGCtree_data_623.root
2899750614,1004.28,true,zfs,-1,true,scorpion2.spa.umn.edu,anTGCtree_data_8.root
2565420259,121.583,false,hdfs,-1,true,scorpion32.spa.umn.edu,anTGCtree_data_489.root
2675904697,110.391,false,hdfs,-1,true,scorpion19.spa.umn.edu,anTGCtree_data_455.root
2655052742,377.153,true,hdfs,-1,true,scorpion26.spa.umn.edu,anTGCtree_data_598.root
2537734261,1182.43,true,zfs,-1,true,scorpion42.spa.umn.edu,anTGCtree_data_94.root
2607268085,1034.94,true,zfs,-1,true,scorpion39.spa.umn.edu,anTGCtree_data_513.root
2956848231,1197.3,true,hdfs,-1,true,scorpion39.spa.umn.edu,anTGCtree_data_725.root
1393492921,727.084,true,hdfs,-1,true,scorpion29.spa.umn.edu,anTGCtree_data_218.root
2958790608,142.15,true,hdfs,-1,true,scorpion40.spa.umn.edu,anTGCtree_data_147.root
2770476308,754.49,true,zfs,-1,true,scorpion41.spa.umn.edu,anTGCtree_data_242.root
2900625438,413.068,true,zfs,-1,true,scorpion29.spa.umn.edu,anTGCtree_data_584.root
2630652662,143.092,false,hdfs,-1,true,scorpion37.spa.umn.edu,anTGCtree_data_170.root
2622652363,2070.63,true,zfs,-1,true,scorpion32.spa.umn.edu,anTGCtree_data_269.root
2399132704,803.476,true,hdfs,-1,true,scorpion34.spa.umn.edu,anTGCtree_data_271.root
1342711524,91.4793,false,hdfs,-1,true,scorpion32.spa.umn.edu,anTGCtree_data_781.root
3109161798,845.197,true,hdfs,-1,true,scorpion35.spa.umn.edu,anTGCtree_data_672.root
1999768753,2701.58,true,zfs,-1,true,scorpion42.spa.umn.edu,anTGCtree_data_427.root
2440121429,114.137,false,hdfs,-1,true,scorpion19.spa.umn.edu,anTGCtree_data_401.root
2686419992,129.721,false,hdfs,-1,true,scorpion43.spa.umn.edu,anTGCtree_data_541.root
2520669628,820.497,true,hdfs,-1,true,scorpion32.spa.umn.edu,anTGCtree_data_330.root
3311262354,2651.17,true,zfs,-1,true,scorpion8.spa.umn.edu,anTGCtree_data_734.root
2411560876,1637.02,true,hdfs,-1,true,scorpion25.spa.umn.edu,anTGCtree_data_569.root
2522761039,125.539,false,hdfs,-1,true,scorpion36.spa.umn.edu,anTGCtree_data_496.root
2801610798,853.97,true,hdfs,-1,true,scorpion29.spa.umn.edu,anTGCtree_data_357.root
2770842721,1347.16,true,zfs,-1,true,scorpion26.spa.umn.edu,anTGCtree_data_470.root
2750348816,220.437,true,hdfs,-1,true,scorpion41.spa.umn.edu,anTGCtree_data_118.root
3254865306,348.539,true,hdfs,-1,true,scorpion30.spa.umn.edu,anTGCtree_data_225.root
2069815109,94.6955,false,hdfs,-1,true,scorpion30.spa.umn.edu,anTGCtree_data_807.root
2812881819,1805.06,true,hdfs,-1,true,scorpion8.spa.umn.edu,anTGCtree_data_530.root
2883654405,160.632,false,hdfs,-1,true,scorpion33.spa.umn.edu,anTGCtree_data_566.root
2503807882,98.2815,false,hdfs,-1,true,scorpion34.spa.umn.edu,anTGCtree_data_260.root
2631932375,2389.67,true,zfs,-1,true,scorpion35.spa.umn.edu,anTGCtree_data_386.root
2111941352,976.375,true,zfs,-1,true,scorpion2.spa.umn.edu,anTGCtree_data_800.root
2390135294,2432.51,true,zfs,-1,true,scorpion25.spa.umn.edu,anTGCtree_data_240.root
2210390699,119.023,false,hdfs,-1,true,scorpion40.spa.umn.edu,anTGCtree_data_607.root
2833890974,743.635,true,hdfs,-1,true,scorpion44.spa.umn.edu,anTGCtree_data_464.root
2825964005,2220.69,true,zfs,-1,true,scorpion30.spa.umn.edu,anTGCtree_data_582.root
2781351732,2529.96,true,zfs,-1,true,scorpion26.spa.umn.edu,anTGCtree_data_361.root
2445212148,121.64,false,hdfs,-1,true,scorpion41.spa.umn.edu,anTGCtree_data_169.root
2378955853,126.289,false,hdfs,-1,true,scorpion25.spa.umn.edu,anTGCtree_data_194.root
2514509159,1265.66,true,zfs,-1,true,scorpion30.spa.umn.edu,anTGCtree_data_129.root
3020389872,907.63,true,hdfs,-1,true,scorpion19.spa.umn.edu,anTGCtree_data_740.root
3020567937,149.391,false,hdfs,-1,true,scorpion44.spa.umn.edu,anTGCtree_data_705.root
2848407847,880.161,true,zfs,-1,true,scorpion38.spa.umn.edu,anTGCtree_data_315.root
1930087601,799.93,true,hdfs,-1,true,scorpion44.spa.umn.edu,anTGCtree_data_435.root
2343848770,95.2578,false,hdfs,-1,true,scorpion44.spa.umn.edu,anTGCtree_data_290.root
2126279259,1610.35,true,zfs,-1,true,scorpion33.spa.umn.edu,anTGCtree_data_267.root
2910110248,3068.64,true,zfs,-1,true,scorpion34.spa.umn.edu,anTGCtree_data_659.root
2294930721,1866.59,true,zfs,-1,true,scorpion2.spa.umn.edu,anTGCtree_data_521.root
2015543742,960.287,true,zfs,-1,true,scorpion35.spa.umn.edu,anTGCtree_data_234.root
2616369906,1069.03,true,hdfs,-1,true,scorpion37.spa.umn.edu,anTGCtree_data_461.root
3035830003,152.688,false,hdfs,-1,true,scorpion29.spa.umn.edu,anTGCtree_data_606.root
3072618296,136.056,false,hdfs,-1,true,scorpion30.spa.umn.edu,anTGCtree_data_162.root
2382002935,2735.79,true,zfs,-1,true,scorpion19.spa.umn.edu,anTGCtree_data_366.root
3049322502,1867.92,true,zfs,-1,true,scorpion28.spa.umn.edu,anTGCtree_data_578.root
2069818897,137.737,false,hdfs,-1,true,scorpion40.spa.umn.edu,anTGCtree_data_191.root
2899298504,139.641,false,hdfs,-1,true,scorpion43.spa.umn.edu,anTGCtree_data_706.root
2214735240,824.139,true,hdfs,-1,true,scorpion19.spa.umn.edu,anTGCtree_data_743.root
2098906510,535.371,true,zfs,-1,true,scorpion36.spa.umn.edu,anTGCtree_data_13.root
3197757944,1821.89,true,zfs,-1,true,scorpion2.spa.umn.edu,anTGCtree_data_321.root
2637914529,100.956,false,hdfs,-1,true,scorpion41.spa.umn.edu,anTGCtree_data_293.root
2557866382,126.407,true,hdfs,-1,true,scorpion36.spa.umn.edu,anTGCtree_data_436.root
2093113353,2448.62,true,zfs,-1,true,scorpion35.spa.umn.edu,anTGCtree_data_663.root
2282995581,1077.86,true,zfs,-1,true,scorpion40.spa.umn.edu,anTGCtree_data_262.root
3020637345,1231.9,true,hdfs,-1,true,scorpion32.spa.umn.edu,anTGCtree_data_668.root
2632354341,167.225,false,hdfs,-1,true,scorpion27.spa.umn.edu,anTGCtree_data_775.root
2921036722,1538.73,true,hdfs,-1,true,scorpion41.spa.umn.edu,anTGCtree_data_276.root
2609447578,3050.26,true,zfs,-1,true,scorpion42.spa.umn.edu,anTGCtree_data_426.root
2233431045,403.241,true,hdfs,-1,true,scorpion40.spa.umn.edu,anTGCtree_data_324.root
2474763856,137.556,false,hdfs,-1,true,scorpion46.spa.umn.edu,anTGCtree_data_546.root
2699413870,108.206,false,hdfs,-1,true,scorpion35.spa.umn.edu,anTGCtree_data_398.root
3208551770,777.403,true,zfs,-1,true,scorpion25.spa.umn.edu,anTGCtree_data_731.root
2300240456,930.848,true,hdfs,-1,true,scorpion39.spa.umn.edu,anTGCtree_data_352.root
2976723650,139.458,false,hdfs,-1,true,scorpion26.spa.umn.edu,anTGCtree_data_501.root
3115383140,2121.85,true,hdfs,-1,true,scorpion33.spa.umn.edu,anTGCtree_data_573.root
2538821436,2965.08,true,zfs,-1,true,scorpion37.spa.umn.edu,anTGCtree_data_473.root
2316746509,131.334,false,hdfs,-1,true,scorpion31.spa.umn.edu,anTGCtree_data_802.root
2724074163,209.134,true,hdfs,-1,true,scorpion32.spa.umn.edu,anTGCtree_data_231.root
3029748768,1693.51,true,hdfs,-1,true,scorpion33.spa.umn.edu,anTGCtree_data_122.root
2941605641,2249.53,true,zfs,-1,true,scorpion28.spa.umn.edu,anTGCtree_data_189.root
