Linux 2.6.32-754.35.1.el6.x86_64 (hdfs-nn1.spa.umn.edu) 	02/18/2022 	_x86_64_	(16 CPU)

01:34:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:34:56 PM     all      0.11      0.00      0.08      0.06      0.00     99.75
01:35:16 PM     all      0.17      0.00      0.76      0.07      0.00     99.00
01:35:36 PM     all      0.21      0.00      0.17      0.06      0.00     99.56
01:35:56 PM     all      0.11      0.00      0.08      0.07      0.00     99.74
01:36:16 PM     all      0.12      0.00      0.07      0.03      0.00     99.78
01:36:36 PM     all      0.48      0.00      0.22      0.13      0.00     99.16
01:36:56 PM     all      2.17      0.00      0.38      0.13      0.00     97.33
01:37:16 PM     all      0.12      0.00      0.08      0.08      0.00     99.71
01:37:36 PM     all      0.13      0.00      0.13      0.07      0.00     99.67
01:37:56 PM     all      0.18      0.00      0.10      0.06      0.00     99.66
01:38:16 PM     all      0.17      0.00      0.09      0.04      0.00     99.70
01:38:36 PM     all      0.13      0.00      0.13      0.11      0.00     99.63
01:38:56 PM     all      0.12      0.00      0.08      0.09      0.00     99.71
01:39:16 PM     all      0.12      0.00      0.08      0.02      0.00     99.78
01:39:36 PM     all      0.13      0.00      0.13      0.06      0.00     99.69
01:39:56 PM     all      0.12      0.00      0.10      0.05      0.00     99.73
01:40:16 PM     all      0.12      0.00      0.73      0.05      0.00     99.10
01:40:36 PM     all      0.26      0.00      0.22      0.09      0.00     99.43
01:40:56 PM     all      0.12      0.00      0.10      0.11      0.00     99.67
01:41:16 PM     all      0.10      0.00      0.08      0.03      0.00     99.78
01:41:36 PM     all      0.16      0.00      0.13      0.08      0.00     99.63
01:41:56 PM     all      0.11      0.00      0.09      0.06      0.00     99.73
01:42:16 PM     all      0.10      0.00      0.08      0.04      0.00     99.78
01:42:36 PM     all      0.14      0.00      0.13      0.10      0.00     99.64
01:42:56 PM     all      0.12      0.00      0.11      0.08      0.00     99.70
01:43:16 PM     all      0.09      0.00      0.08      0.03      0.00     99.80
01:43:36 PM     all      0.17      0.00      0.16      0.03      0.00     99.64
01:43:56 PM     all      0.13      0.00      0.10      0.08      0.00     99.69
01:44:16 PM     all      0.11      0.00      0.08      0.02      0.00     99.79
01:44:36 PM     all      0.13      0.00      0.13      0.10      0.00     99.64
01:44:56 PM     all      0.12      0.00      0.10      0.10      0.00     99.67
01:45:16 PM     all      9.03      0.00      1.03      0.07      0.00     89.88
01:45:36 PM     all      8.71      0.00      0.31      0.05      0.00     90.93
01:45:56 PM     all      0.10      0.00      0.10      0.06      0.00     99.73
01:46:16 PM     all      0.10      0.00      0.08      0.03      0.00     99.78
01:46:36 PM     all      0.14      0.00      0.13      0.09      0.00     99.64
01:46:56 PM     all      0.10      0.00      0.09      0.05      0.00     99.76
01:47:16 PM     all      0.13      0.00      0.07      0.05      0.00     99.75
01:47:36 PM     all      0.14      0.00      0.12      0.04      0.00     99.70
01:47:56 PM     all      0.11      0.00      0.10      0.04      0.00     99.75
01:48:16 PM     all      0.11      0.00      0.08      0.02      0.00     99.79
01:48:36 PM     all      0.16      0.00      0.13      0.11      0.00     99.60
01:48:56 PM     all      0.12      0.00      0.09      0.04      0.00     99.75
01:49:16 PM     all      0.11      0.00      0.08      0.03      0.00     99.78
01:49:36 PM     all      0.13      0.00      0.13      0.05      0.00     99.69
01:49:56 PM     all      0.11      0.00      0.09      0.04      0.00     99.76
01:50:16 PM     all      0.12      0.00      0.65      0.06      0.00     99.16
01:50:36 PM     all      0.23      0.00      0.20      0.11      0.00     99.46
01:50:56 PM     all      0.12      0.00      0.09      0.05      0.00     99.74
01:51:16 PM     all      0.10      0.00      0.07      0.07      0.00     99.76
01:51:36 PM     all      0.14      0.00      0.13      0.08      0.00     99.66
01:51:56 PM     all      0.12      0.00      0.10      0.03      0.00     99.75
01:52:16 PM     all      0.12      0.00      0.08      0.08      0.00     99.72
01:52:36 PM     all      0.14      0.00      0.13      0.10      0.00     99.63
01:52:56 PM     all      0.13      0.00      0.09      0.05      0.00     99.73
01:53:16 PM     all      0.17      0.00      0.09      0.06      0.00     99.68
01:53:36 PM     all      0.16      0.00      0.16      0.16      0.00     99.53
01:53:56 PM     all      0.13      0.00      0.10      0.04      0.00     99.72
01:54:16 PM     all      0.10      0.00      0.07      0.04      0.00     99.79
01:54:36 PM     all      0.14      0.00      0.12      0.11      0.00     99.63
01:54:56 PM     all      0.13      0.00      0.10      0.05      0.00     99.72
01:55:16 PM     all      0.11      0.00      1.00      0.10      0.00     98.79
01:55:36 PM     all      0.21      0.00      0.18      0.12      0.00     99.50
01:55:56 PM     all      0.12      0.00      0.10      0.07      0.00     99.71
01:56:16 PM     all      0.10      0.00      0.08      0.04      0.00     99.78
01:56:36 PM     all      0.13      0.00      0.12      0.11      0.00     99.64
01:56:56 PM     all      0.11      0.00      0.09      0.05      0.00     99.75
01:57:16 PM     all      0.10      0.00      0.08      0.04      0.00     99.78
01:57:36 PM     all      0.13      0.00      0.12      0.06      0.00     99.69
01:57:56 PM     all      0.12      0.00      0.09      0.06      0.00     99.74
01:58:16 PM     all      0.10      0.00      0.08      0.04      0.00     99.78
01:58:36 PM     all      0.14      0.00      0.13      0.12      0.00     99.61
01:58:56 PM     all      0.12      0.00      0.08      0.04      0.00     99.76
01:59:16 PM     all      0.10      0.00      0.08      0.03      0.00     99.79
01:59:36 PM     all      0.14      0.00      0.12      0.05      0.00     99.69
01:59:56 PM     all      0.12      0.00      0.09      0.04      0.00     99.75
02:00:16 PM     all      9.31      0.00      0.86      0.08      0.00     89.75
02:00:36 PM     all      8.91      0.00      0.44      0.09      0.00     90.55
02:00:56 PM     all      0.12      0.00      0.09      0.07      0.00     99.72
02:01:16 PM     all      0.11      0.00      0.08      0.05      0.00     99.76
02:01:36 PM     all      0.12      0.00      0.12      0.06      0.00     99.70
02:01:56 PM     all      0.15      0.00      0.11      0.05      0.00     99.69
02:02:16 PM     all      0.11      0.00      0.07      0.05      0.00     99.77
02:02:36 PM     all      0.13      0.00      0.12      0.12      0.00     99.63
02:02:56 PM     all      0.12      0.00      0.10      0.07      0.00     99.71
02:03:16 PM     all      0.11      0.00      0.08      0.05      0.00     99.76
02:03:36 PM     all      0.13      0.00      0.11      0.06      0.00     99.70
02:03:56 PM     all      0.17      0.00      0.09      0.07      0.00     99.67
02:04:16 PM     all      0.11      0.00      0.08      0.03      0.00     99.79
02:04:36 PM     all      0.13      0.00      0.13      0.12      0.00     99.61
02:04:56 PM     all      0.12      0.00      0.11      0.06      0.00     99.72
02:05:16 PM     all      0.12      0.00      0.82      0.08      0.00     98.98
02:05:36 PM     all      0.22      0.00      0.19      0.04      0.00     99.55
02:05:56 PM     all      0.13      0.00      0.09      0.06      0.00     99.73
02:06:16 PM     all      0.12      0.00      0.08      0.03      0.00     99.77
02:06:36 PM     all      0.45      0.00      0.19      0.14      0.00     99.22
02:06:56 PM     all      2.31      0.00      0.39      0.13      0.00     97.17
02:07:16 PM     all      0.11      0.00      0.08      0.11      0.00     99.71
02:07:36 PM     all      0.13      0.00      0.12      0.04      0.00     99.71
02:07:56 PM     all      0.13      0.00      0.10      0.05      0.00     99.72
02:08:16 PM     all      0.16      0.00      0.11      0.05      0.00     99.69
02:08:36 PM     all      0.15      0.00      0.13      0.10      0.00     99.62
02:08:56 PM     all      0.13      0.00      0.10      0.06      0.00     99.71
02:09:16 PM     all      0.12      0.00      0.08      0.03      0.00     99.78
02:09:36 PM     all      0.12      0.00      0.13      0.05      0.00     99.69
02:09:56 PM     all      0.12      0.00      0.09      0.08      0.00     99.71
02:10:16 PM     all      0.13      0.00      0.41      0.07      0.00     99.40
02:10:36 PM     all      0.25      0.00      0.22      0.10      0.00     99.43
02:10:56 PM     all      0.13      0.00      0.13      0.08      0.00     99.66
02:11:16 PM     all      0.10      0.00      0.08      0.03      0.00     99.79
02:11:36 PM     all      0.13      0.00      0.13      0.05      0.00     99.69
02:11:56 PM     all      0.11      0.00      0.09      0.06      0.00     99.75
02:12:16 PM     all      0.11      0.00      0.08      0.06      0.00     99.76
02:12:36 PM     all      0.13      0.00      0.13      0.07      0.00     99.68
02:12:56 PM     all      0.12      0.00      0.10      0.09      0.00     99.69
02:13:16 PM     all      0.11      0.00      0.08      0.03      0.00     99.77
02:13:36 PM     all      0.13      0.00      0.12      0.04      0.00     99.71
02:13:56 PM     all      0.12      0.00      0.09      0.07      0.00     99.72
02:14:16 PM     all      0.10      0.00      0.08      0.01      0.00     99.82
02:14:36 PM     all      0.13      0.00      0.12      0.04      0.00     99.71
02:14:56 PM     all      0.13      0.00      0.10      0.12      0.00     99.66
02:15:16 PM     all      8.81      0.00      1.51      0.07      0.00     89.61
02:15:36 PM     all      8.89      0.00      0.29      0.08      0.00     90.74
02:15:56 PM     all      0.11      0.00      0.10      0.06      0.00     99.73
02:16:16 PM     all      0.12      0.00      0.08      0.03      0.00     99.77
02:16:36 PM     all      0.14      0.00      0.12      0.05      0.00     99.69
02:16:56 PM     all      0.15      0.00      0.11      0.09      0.00     99.65
02:17:16 PM     all      0.12      0.00      0.11      0.05      0.00     99.72
02:17:36 PM     all      0.14      0.00      0.13      0.06      0.00     99.67
02:17:56 PM     all      0.12      0.00      0.10      0.05      0.00     99.74
02:18:16 PM     all      0.11      0.00      0.08      0.03      0.00     99.77
02:18:36 PM     all      0.13      0.00      0.12      0.07      0.00     99.68
02:18:56 PM     all      0.12      0.00      0.09      0.14      0.00     99.65
02:19:16 PM     all      0.11      0.00      0.08      0.03      0.00     99.77
02:19:36 PM     all      0.14      0.00      0.13      0.05      0.00     99.69
02:19:56 PM     all      0.12      0.00      0.09      0.10      0.00     99.69
02:20:16 PM     all      0.13      0.00      1.21      0.06      0.00     98.61
02:20:36 PM     all      0.23      0.00      0.19      0.05      0.00     99.52
02:20:56 PM     all      0.14      0.00      0.10      0.14      0.00     99.62
02:21:16 PM     all      0.11      0.00      0.08      0.07      0.00     99.74
02:21:36 PM     all      0.12      0.00      0.13      0.05      0.00     99.70
02:21:56 PM     all      0.13      0.00      0.09      0.08      0.00     99.70
02:22:16 PM     all      0.10      0.00      0.08      0.04      0.00     99.77
02:22:36 PM     all      0.13      0.00      0.13      0.07      0.00     99.68
02:22:56 PM     all      0.14      0.00      0.10      0.12      0.00     99.64
02:23:16 PM     all      0.19      0.00      0.09      0.06      0.00     99.65
02:23:36 PM     all      0.12      0.00      0.13      0.06      0.00     99.69
02:23:56 PM     all      0.12      0.00      0.09      0.08      0.00     99.71
02:24:16 PM     all      0.12      0.00      0.08      0.04      0.00     99.75
02:24:36 PM     all      0.12      0.00      0.13      0.06      0.00     99.69
02:24:56 PM     all      0.12      0.00      0.10      0.08      0.00     99.70
02:25:16 PM     all      0.12      0.00      0.95      0.07      0.00     98.86
02:25:36 PM     all      0.22      0.00      0.19      0.10      0.00     99.49
02:25:56 PM     all      0.12      0.00      0.09      0.07      0.00     99.72
02:26:16 PM     all      0.09      0.00      0.07      0.03      0.00     99.80
02:26:36 PM     all      0.13      0.00      0.13      0.03      0.00     99.71
02:26:56 PM     all      0.13      0.00      0.10      0.11      0.00     99.67
02:27:16 PM     all      0.11      0.00      0.07      0.07      0.00     99.75
