        Host	nproc	  RAM	CVMFS	HDFS	scratch	sing	OS
   cdms-04-1	   24	47 GB	  yes	  no	   170G	  no	Scientific Linux release 6.10 (Carbon)
   cdms-04-2	   24	47 GB	  yes	  no	   170G	  no	Scientific Linux release 6.10 (Carbon)
   cdms-04-3	   24	47 GB	  yes	  no	   170G	  no	Scientific Linux release 6.10 (Carbon)
   cdms-04-4	   24	46 GB	  yes	 yes	    73G	 yes	CentOS Linux release 7.9.2009 (Core)
       cdms1	   24	47 GB	  yes	  no	   382G	  no	Scientific Linux release 6.10 (Carbon)
       cdms3	   24	47 GB	  yes	  no	   382G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-01-1	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-01-2	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-01-3	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-01-4	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-02-1	   24	39 GB	  yes	 yes	   411G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-02-2	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-02-3	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-02-4	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-03-1	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-03-2	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-03-3	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-03-4	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-04-1	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-04-2	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-04-3	   24	47 GB	  yes	 yes	   179G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-04-4	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-05-1	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-05-2	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-05-3	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-05-4	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-06-1	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-06-2	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-06-3	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-06-4	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-07-1	   24	47 GB	  yes	 yes	   865G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-07-2	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-07-3	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-07-4	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-08-1	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-08-2	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-08-3	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-08-4	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-09-1	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-09-2	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-09-3	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-09-4	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-10-1	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-10-2	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-10-3	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-10-4	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-11-1	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-11-2	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-11-3	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-11-4	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-12-1	   24	47 GB	  yes	 yes	   865G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-12-2	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-12-3	   24	47 GB	  yes	 yes	   407G	  no	Scientific Linux release 6.10 (Carbon)
 gopher-12-4	can't connect
   scorpion1	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.9.2009 (Core)
   scorpion2	   16	23 GB	  yes	 yes	   780G	 yes	CentOS Linux release 7.9.2009 (Core)
   scorpion3	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.8.2003 (Core)
   scorpion4	   16	23 GB	  yes	 yes	    93G	 yes	CentOS Linux release 7.8.2003 (Core)
   scorpion5	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.8.2003 (Core)
   scorpion6	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.9.2009 (Core)
   scorpion7	can't connect
   scorpion8	   16	23 GB	  yes	 yes	    93G	 yes	CentOS Linux release 7.9.2009 (Core)
   scorpion9	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion10	can't connect
  scorpion11	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion12	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion13	can't connect
  scorpion14	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion15	can't connect
  scorpion16	   16	23 GB	  yes	 yes	   551G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion17	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion18	   16	23 GB	  yes	 yes	    12G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion19	   16	23 GB	  yes	 yes	   780G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion20	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion21	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion22	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion23	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion24	   16	23 GB	  yes	 yes	   9.8G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion25	   16	23 GB	  yes	 yes	   322G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion26	   16	23 GB	  yes	 yes	   322G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion27	   16	23 GB	  yes	 yes	   322G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion28	   16	23 GB	  yes	 yes	   322G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion29	   16	23 GB	  yes	 yes	   322G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion30	   16	23 GB	  yes	 yes	   322G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion31	   16	23 GB	  yes	 yes	   322G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion32	   16	23 GB	  yes	 yes	   322G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion33	   16	23 GB	  yes	 yes	    93G	 yes	CentOS Linux release 7.9.2009 (Core)
  scorpion34	   16	23 GB	  yes	 yes	   322G	 yes	CentOS Linux release 7.9.2009 (Core)
