Host,Category,Size
cdms-04-1,scratch,223.6G
cdms-04-2,scratch,223.6G
cdms-04-3,scratch,223.6G
cdms-04-4,scratch,223.6G
cdms1,/export/data/cdmsdb,1.8T
cdms1,scratch,465.8G
cdms3,scratch,465.8G
gopher-01-1,hdfs,2.7T
gopher-01-1,hdfs,2.7T
gopher-01-1,scratch,465.8G
gopher-01-2,hdfs,2.7T
gopher-01-2,hdfs,2.7T
gopher-01-2,scratch,465.8G
gopher-01-3,hdfs,2.7T
gopher-01-3,hdfs,2.7T
gopher-01-3,scratch,465.8G
gopher-01-4,hdfs,2.7T
gopher-01-4,hdfs,2.7T
gopher-01-4,scratch,465.8G
gopher-02-1,hdfs,2.7T
gopher-02-1,hdfs,2.7T
gopher-02-1,scratch,465.8G
gopher-02-2,hdfs,2.7T
gopher-02-2,hdfs,2.7T
gopher-02-2,scratch,465.8G
gopher-02-3,hdfs,2.7T
gopher-02-3,hdfs,1.8T
gopher-02-3,scratch,465.8G
gopher-02-4,hdfs,2.7T
gopher-02-4,hdfs,2.7T
gopher-02-4,scratch,465.8G
gopher-03-1,hdfs,2.7T
gopher-03-1,hdfs,2.7T
gopher-03-1,scratch,465.8G
gopher-03-2,hdfs,2.7T
gopher-03-2,hdfs,2.7T
gopher-03-2,scratch,465.8G
gopher-03-3,hdfs,2.7T
gopher-03-3,hdfs,2.7T
gopher-03-3,scratch,465.8G
gopher-03-4,hdfs,2.7T
gopher-03-4,hdfs,2.7T
gopher-03-4,scratch,465.8G
gopher-04-1,hdfs,2.7T
gopher-04-1,hdfs,2.7T
gopher-04-1,scratch,465.8G
gopher-04-2,hdfs,1.8T
gopher-04-2,hdfs,2.7T
gopher-04-2,scratch,465.8G
gopher-04-3,hdfs,2.7T
gopher-04-3,hdfs,2.7T
gopher-04-3,scratch,233.8G
gopher-04-4,hdfs,2.7T
gopher-04-4,hdfs,2.7T
gopher-04-4,scratch,465.8G
gopher-05-1,hdfs,2.7T
gopher-05-1,hdfs,2.7T
gopher-05-1,scratch,465.8G
