        Host	nproc	  RAM	CVMFS	HDFS	scratch	sing	OS
   cdms-04-1	   24	46 GB	  yes	  no	   135G	 yes	CentOS Linux release 7.9.2009 (Core)
   cdms-04-2	   NA	   NA	   NA	  NA	     NA	  NA	NA
   cdms-04-3	   24	46 GB	  yes	  no	    73G	 yes	CentOS Linux release 7.9.2009 (Core)
   cdms-04-4	   NA	   NA	   NA	  NA	     NA	  NA	NA
       cdms1	   24	46 GB	   no	  no	   310G	 yes	CentOS Linux release 7.9.2009 (Core)
       cdms3	   24	46 GB	   no	  no	   309G	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-01-1	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-01-2	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-01-3	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-01-4	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-02-1	   24	39 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-02-2	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-02-3	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-02-4	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-03-1	   NA	   NA	   NA	  NA	     NA	  NA	NA
 gopher-03-2	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-03-3	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-03-4	   NA	   NA	   NA	  NA	     NA	  NA	NA
 gopher-04-1	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-04-2	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-04-3	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-04-4	   NA	   NA	   NA	  NA	     NA	  NA	NA
 gopher-05-1	   24	46 GB	  yes	  no	   2.6T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-05-2	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
 gopher-05-3	   24	46 GB	  yes	  no	   1.7T	 yes	Rocky Linux release 8.9 (Green Obsidian)
