        Host	nproc	  RAM	CVMFS	scratch	sing	OS
  spa-cms001	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms002	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms003	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms004	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms005	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms006	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms007	    4	 7 GB	  yes	    77G	 yes	Rocky Linux release 8.10 (Green Obsidian)
  spa-cms008	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms009	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms010	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms011	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms012	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms013	    4	62 GB	  yes	   312G	 yes	Rocky Linux release 8.10 (Green Obsidian)
  spa-cms014	    4	62 GB	  yes	   312G	 yes	Rocky Linux release 8.10 (Green Obsidian)
  spa-cms015	    4	 7 GB	  yes	    87G	 yes	Rocky Linux release 8.10 (Green Obsidian)
  spa-cms016	    8	31 GB	  yes	   765G	 yes	Rocky Linux release 8.10 (Green Obsidian)
  spa-cms017	    8	31 GB	  yes	   298G	 yes	Rocky Linux release 8.10 (Green Obsidian)
  spa-cms018	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms019	    4	 7 GB	  yes	    87G	 yes	Rocky Linux release 8.10 (Green Obsidian)
  spa-cms020	    4	 7 GB	  yes	    87G	 yes	Rocky Linux release 8.10 (Green Obsidian)
  spa-cms021	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms022	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms023	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms024	   NA	   NA	   NA	     NA	  NA	NA
  spa-cms025	   NA	   NA	   NA	     NA	  NA	NA
